电场名称,省,市,区,装机容量(MW),所属企业,所属集团
左美果（含三期）,,,,135.5,云南华电大黑山风力发电有限公司,华电集团
巨龙山（含四期）,,,,198.0,水电十四局大理聚能投资有限公司,中国电建集团
巨龙梁风电,云南省,,,100.0,大唐云南新能源有限公司,
巨龙梁风电场,云南省,昆明市,寻甸县,60.0,大唐云南发电有限公司,
己白风电场,云南省,红河州,弥勒市、开远市,57.0,云南宏桥新能源有限公司,
帕顶梁子,,,,69.5,中广核西双版纳勐海风力发电有限公司,中广核
平坝风电,云南省,,,96.0,大唐新能源（文山）有限公司,
平河风电场,云南省,,,0.0,大唐芒市新能源开发有限公司,
弥勒东风电,云南省,,,250.0,红河云能投新能源开发有限公司,
弥勒东风电场,云南省,,,135.85,弥勒云能投新能源开发有限公司,
弥勒西风电场,云南省,红河州,弥勒市,87.5,三峡集团云南能源投资有限公司,
弯子坡风电场,云南省,,,250.0,师宗聚合风力发电有限公司,
弯子坡风电场（丹凤）,,,,250.0,师宗聚合风力发电有限公司,
彝山,,,,152.5,中广核楚雄牟定风力发电有限公司,中广核
待补风电,云南省,,,271.6,华电（曲靖）新能源开发有限公司,
德著龙（含三期）,,,,144.0,昆明中云电新能源有限责任公司,国家电力投资集团
拖甸风电场,云南省,玉溪市,通海县,72.0,中广核风电有限公司,
撒克代风电场,云南省,丽江市,永胜县,80.0,华电云南发电有限公司,
支锅山（含二期）,,,,99.0,龙源石林新能源有限公司,国家能源投资集团
文兴风电,云南省,,,212.8,中广核曲靖宣威风力发电有限公司,
文笔山（含三期）,,,,136.0,华能云南富源风电有限责任公司,华能集团
斐龙村风电场,云南省,红河州,石屏县,76.0,云南宏桥新能源有限公司,
新屯风电场,云南省,,,131.25,曲靖云能通泉北电力开发有限责任公司,
昆明联合（含二期）,,,,99.0,昆明中云电新能源有限责任公司,国家电力投资集团
昔腊嘟风电,云南省,,,220.8,华能清洁能源(曲靖宣威)有限公司,
朗山（含二期）,,,,90.0,国电电力云南新能源开发有限公司,国家能源投资集团
朗目山,,,,49.5,大唐新能源曲靖市麒麟区风力发电有限公司,大唐集团
朵古,,,,49.5,华电蒙自新能源发电有限公司,华电集团
朵古风电场,云南省,红河州,蒙自市,50.0,华电（云南）新能源发电有限公司,
李子箐（含五期）,,,,219.0,中国水电顾问集团风电泸西有限公司,中国电建集团
杨梅山（含二期）,,,,99.0,云南龙源新能源有限公司,国家能源投资集团
板桥（含二期）,,,,99.0,国能云南新能源有限公司,国家能源投资集团
株木山,,,,150.0,云南龙源新能源有限公司,国家能源投资集团
桃子树风电场,云南省,,,200.0,大唐芒市新能源开发有限公司,
梁冲风电场,云南省,红河州,石屏县,45.0,淮河能源（集团）股份有限公司,
梅塘风电,云南省,,,150.0,开远聚隆新能源开发有限公司,
梅塘风电（仙人洞北区）,,,,150.0,开远聚隆新能源开发有限公司,
永三风电场,云南省,红河州,泸西县,28.8,云南能源投资股份有限公司,
永三（含二期）,,,,96.0,泸西县云能投风电开发有限公司,云南能源投资
永宁风电场,云南省,红河州,弥勒市,54.0,云南能源投资股份有限公司,
沙坡风电场,云南省,,,13.4,富源云伊电投新能源有限公司,
沙帽山（含二期）,,,,96.0,华能大理风力发电有限公司巍山分公司,华能集团
洒谷,,,,49.5,国能龙源罗平新能源有限公司,国家能源投资集团
洗羊塘,,,,49.5,巧家天巧风电有限公司,其他
浦贝风电场,云南省,玉溪市,易门县,37.5,华润新能源(易门)有限公司,
温泉岭（丹凤东区）,,,,50.0,师宗聚合风力发电有限公司,
漕涧梁子（含二期）,,,,99.0,华能大理风力发电有限公司云龙分公司,华能集团
牦牛坪,,,,99.0,华电(云南)新能源发电有限公司丽江分公司,华电集团
猴子山风电场,云南省,,,200.0,华电个旧新能源发电有限公司,
甲俫波,,,,48.0,中广核普洱澜沧风力发电有限公司,中广核
白泥井,,,,32.0,会泽协合风力发电有限公司,三峡集团
白石岩风电场,云南省,红河州,个旧市,70.0,云南宏桥新能源有限公司,
白鹤厂风电场,云南省,,,0.0,华能澜沧江（祥云）新能源有限公司,
百山（含三期）,,,,132.0,龙源大理风力发电有限公司,国家能源投资集团
百花山,,,,48.0,云南湘电众佳新能源有限公司,湘电集团
盘江风电,云南省,,,180.0,华能清洁能源（曲靖沾益）有限公司,
石洞山（含三期）,,,,145.5,云南弥勒石洞山发电有限公司,三峡集团
石蒲塘（含二期）,,,,99.0,华能大理风力发电有限公司洱源分公司,华能集团
矶应山风电场,云南省,红河州,石屏县,66.0,云南宏桥新能源有限公司,
