电场名称,省,市,区,装机容量(MW),所属企业,所属集团
园子沟光伏,,,,60.0,华能澜沧江(大理)新能源有限公司,
国兴光伏,,,,148.05,华能新能源（元谋）有限公司,
坝密河光伏,,,,300.0,临沧核顺新能源科技有限公司,
坝檬光伏,,,,50.0,华能澜沧江(勐海)新能源有限公司,
坡头山,,,,20.0,元谋瑞能光伏发电有限公司,其他
塘坡光伏（大理新松坡）,,,,120.0,华能澜沧江(大理)新能源有限公司,
塘坡光伏（酸坡树）,,,,80.0,华能澜沧江(大理)新能源有限公司,
塘房光伏,,,,270.0,中广核玉溪元江风力发电有限公司,
多竹箐光伏（桔子树、金河1）,,,,360.0,华能新能源（元谋）有限公司,
多雨村光伏,,,,230.0,华能澜沧江（巍山）新能源有限公司,
大佛山,,,,30.0,洱源协合太阳能发电有限公司,其他
大兴,,,,40.0,凤庆县爱康电力有限公司,智光人才
大古衙,,,,20.0,中国水电顾问集团大姚新能源开发有限公司,中国电建集团
大地梁子光伏,,,,60.0,华润新能源（石林）有限公司,
大多科光伏,,,,192.0,宏桥红河新能源有限公司,
大姚石板箐（启兴光伏）,,,,200.0,中广核楚雄大姚风力发电有限公司,
大平地,,,,30.0,通海旷达光伏发电有限公司,其他
大庄,,,,27.0,双柏中电建新能源有限公司,中国电建集团
大朝山西林业光伏,,,,300.0,云县乾润新能源有限公司,
大村箐光伏（贵口村、羊街村、居居麻）,,,,155.0,华能澜沧江（永平）新能源有限公司,
大枫树光伏,,,,220.0,华澜（洱源）新能源有限公司,
大栗坪Ⅱ期光伏,,,,150.0,华能新能源（鹤庆）有限公司,
大沙坝光伏,,,,150.0,华能澜沧江(保山昌宁)新能源有限公司,
大清塘光伏,,,,100.0,魏桥砚山新能源有限公司,
大白能光伏,,,,120.0,宏桥红河新能源有限公司,
大立石光伏,,,,80.0,中电建（弥渡）电力有限公司,
大营盘光伏,,,,238.4,会泽华电道成清洁能源开发有限公司,
大雪山光伏,,,,173.7,三峡新能源永德县有限公司,
大麦潭光伏,,,,90.0,宏桥弥勒新能源有限公司,
大龙潭,,,,20.5,华能大理风力发电有限公司洱源分公司,华能集团
大龙潭三期,,,,29.5,华能新能源（洱源）有限公司,
天子山,,,,20.0,三峡新能源元谋发电有限公司,三峡集团
天宝,,,,18.0,玉溪市中太新能源科技有限公司,协鑫新能源
太苏石光伏电站,,,,105.0,楚雄兴楚新能源开发有限公司,
妙峰,,,,20.0,大姚瑞宏新能源开发有限公司,国家电力投资集团
娜拥光伏,,,,160.0,深能（禄劝）能源开发有限公司,
子牙关,,,,30.0,鹤庆汇能发电有限责任公司,特变电工
孔家庄光伏电站,,,,52.0,楚雄兴楚新能源开发有限公司,
孔新庄光伏,,,,162.96,国能宾川新能源有限公司,
孔照普光伏（大歹鲁）,,,,340.0,宏桥泸西新能源有限公司,
宁边,,,,20.0,华润新能源光伏发电(昭通)有限公司,华润
安乐光伏,,,,142.0,大唐牟定新能源有限公司,
安吉村光伏,,,,100.0,永平瑞海新能源有限公司,
宜莲光伏（新）,,,,300.0,永仁滇能零碳能源开发有限公司,
密落槽子,,,,30.0,三峡新能源华坪发电有限公司,三峡集团
富永光伏,,,,47.0,华能澜沧江(普洱)新能源有限公司,
富永光伏（大平掌村）,,,,40.0,华能华东（普洱）清洁能源有限公司,
