交易名称,企业名称,所属集团,电源类型,装机容量MW
220kV潘古里光伏电站,云绿能（永仁）新能源开发有限公司,,光伏,140
220kV永顺光伏电站,云绿能（凤庆）新能源开发有限公司,,光伏,100
35kV云朗光伏电站,云绿能（景洪）新能源开发有限公司,,光伏,30
110kV湾草坪光伏电站,怒江州扶贫投资开发有限公司,,光伏,40
110kV灯笼山光伏电站,玉溪水网新能源有限责任公司,,光伏,135
220kV冲子光伏电站（西北勒）,云南宏桥新能源有限公司,,光伏,80
220kV七河光伏电站,三峡云能投资（丽江）有限公司,,光伏,200
110kV长岭岗光伏电站（花椒树）,宏桥弥勒新能源有限公司,,光伏,52
220kV顺宁光伏电站,华能澜沧江(凤庆)新能源有限公司,,光伏,390
220kV杨柳寨光伏电站（红枣塘）,宏桥建水新能源有限公司,,光伏,35
220kV明龙光伏电站,华能澜沧江(凤庆)新能源有限公司,,光伏,260
220kV公郞光伏电站,华能澜沧江（南涧）新能源有限公司,,光伏,95
220kV玉尺光伏电站,双柏滇能智慧能源有限公司,,光伏,250
110kV驮村光伏电站,中广核新能源（普洱）有限公司,,光伏,40
220kV林家村光伏电站,华电南华新能源开发有限公司,,光伏,540
220kV程铁村光伏电站,华能华东（普洱）清洁能源有限公司,,光伏,255
220kV德益光伏电站,曲靖中和零碳能源有限公司,,光伏,42.88
500kV老挝中广核达云光伏电站,中广核老挝达云发电独资有限公司,,光伏,1000
110kV吉安光伏电站,中广核新能源（西畴）有限公司,,光伏,100
35kV香花岭光伏电站,富源云伊电投新能源有限公司,,光伏,24
220kV丙坡光伏电站二期,新平凌沄新能源有限公司,,光伏,40
110kV嘎尔村光伏电站,华电宁蒗新能源开发有限公司,,光伏,52.16
35kV朱家寨南光伏电站,元江聚源新能源有限公司,,光伏,38
110kV南木算光伏电站,永德县国核勐晟新能源有限公司,,光伏,62
220kV黑泥坡光伏电站,华宁县乾润新能源有限公司,,光伏,200
220kV云翎光伏电站,中广核新能源（双柏）有限公司,,光伏,110
35kV行寨光伏电站,国能峨山新能源有限公司,,光伏,25
220kV羊厂光伏电站,京能（寻甸）新能源有限公司,,光伏,100
孔照普光伏（大歹鲁）,宏桥泸西新能源有限公司,,光伏,340
长坡岭,弥渡洁源新能源发电有限公司,其他,光伏,30
龙潭山,永胜惠光光伏发电有限公司,骏耀新能源,光伏,19.8
云电投石林（一期）,石林云电投新能源开发有限公司,云南能源投资,光伏,10
云电投石林（二期）,石林云电投新能源开发有限公司,云南能源投资,光伏,56
华能石林&#40;一期&#41;,华能石林光伏发电有限公司,华能集团,光伏,10
华能石林（二期）,华能石林光伏发电有限公司,华能集团,光伏,90
永仁维的,永仁华电新能源开发有限公司维的光伏发电分公司,华电集团,光伏,40
干巴拉,永仁协合太阳能发电有限公司,中核集团,光伏,50
秀田,云南滇能智慧能源有限公司,国家电力投资集团,光伏,50
干塘子,三峡新能源宾川发电有限公司,三峡集团,光伏,30
天子山,三峡新能源元谋发电有限公司,三峡集团,光伏,20
西村,中电大理(西村)光伏发电有限公司,中电中国,光伏,100
小西村,元谋中电电气光伏发电有限公司,国家电力投资集团,光伏,20
砚山太科,砚山太科光伏电力有限公司,中航科技,光伏,50
刘家庄,曲靖市沾益区阿特斯光伏发电有限公司,其他,光伏,10
大佛山,洱源协合太阳能发电有限公司,其他,光伏,30
干海子,水电十四局大理聚能投资有限公司,中国电建集团,光伏,20
大龙潭,华能大理风力发电有限公司洱源分公司,华能集团,光伏,20.5
干箐,华坪协合太阳能发电有限公司,中核集团,光伏,50
南庄,国投新能源（红河）股份有限公司,国投电力,光伏,300
大庄,双柏中电建新能源有限公司,中国电建集团,光伏,27
甘庄,元江中电光伏发电有限公司,国家电力投资集团,光伏,20
河外,元谋绿电新能源开发有限公司,协鑫新能源,光伏,50
北泽,元江中盛太阳能科技有限公司,中广核,光伏,40
清塘子,开远弘裕阳光新能源发电有限公司,三峡集团,光伏,30.6
四角山,中国能源建设集团永胜新能源有限公司,中能建集团,光伏,60
驻马哨,开远中能新能源有限公司,其他,光伏,76
洛戈底,蒙自奥特斯维光伏发电有限公司,奥特斯维,光伏,45
子牙关,鹤庆汇能发电有限责任公司,特变电工,光伏,30
石漠化,石林东旭新能源有限公司,其他,光伏,20
宁边,华润新能源光伏发电(昭通)有限公司,华润,光伏,20
大古衙,中国水电顾问集团大姚新能源开发有限公司,中国电建集团,光伏,20
岩淜,国投大理光伏发电有限公司,国投电力,光伏,40
北大村,石林中云电新能源有限责任公司,国家电力投资集团,光伏,60
茂创转山包,昭通茂创能源开发有限公司,其他,光伏,30
星火山,勐海协鑫光伏农业电力有限公司,协鑫新能源,光伏,30
密落槽子,三峡新能源华坪发电有限公司,三峡集团,光伏,30
杨梅坪,大理瑞德兴阳新能源科技有限公司,其他,光伏,21.7
大平地,通海旷达光伏发电有限公司,其他,光伏,30
大兴,凤庆县爱康电力有限公司,智光人才,光伏,40
芒街,孟连三犇新能源开发有限公司,其他,光伏,20
南头山,曲靖英利光伏电力开发有限公司,其他,光伏,10
班幸,永仁惠光光伏发电有限公司,骏耀新能源,光伏,35
干龙潭,云县汇能发电有限责任公司,特变电工,光伏,30
钢家岭,禄劝县爱康能源电力有限公司,智光人才,光伏,20
下海尾,建水县奥特斯维光伏发电有限公司,奥特斯维,光伏,41
