原始图片,省,市,经度,纬度,POI
103374_56058.jpg,云南省,曲靖市,103.92606,25.17853,白泥塘山
103344_56102.jpg,云南省,曲靖市,103.8446,25.07043,黑箐沟
103596_55859.jpg,云南省,曲靖市,104.537155,25.67331,二道箐
103653_55902.jpg,云南省,曲靖市,104.69334,25.56579,W542520222
103537_55833.jpg,云南省,曲靖市,104.374626,25.737144,扑过河－大罗冲公路
103384_56140.jpg,云南省,曲靖市,103.95456,24.974539,硝洞
103336_56085.jpg,云南省,曲靖市,103.82151,25.110966,资家大山
103372_55905.jpg,云南省,曲靖市,103.92054,25.55812,小营盘
103329_56164.jpg,云南省,曲靖市,103.80175,24.91543,V079
103564_55899.jpg,云南省,曲靖市,104.447235,25.573778,关睢村
103319_56160.jpg,云南省,曲靖市,103.77624,24.925453,刘家房子
103632_55640.jpg,云南省,曲靖市,104.634735,26.213894,石鼓溪沟
103524_55806.jpg,云南省,曲靖市,104.33789,25.803555,烧灰冲
103675_56155.jpg,云南省,曲靖市,104.75209,24.937304,上后河
103363_56066.jpg,云南省,曲靖市,103.89561,25.159641,癞子山
103322_56167.jpg,云南省,曲靖市,103.782936,24.907347,老眉毛山
103324_56196.jpg,云南省,曲靖市,103.788826,24.834368,三红湾子
103372_55927.jpg,云南省,曲靖市,103.9218,25.503716,Y023
103383_56048.jpg,云南省,曲靖市,103.95182,25.204102,株木山
103697_56128.jpg,云南省,曲靖市,104.8135,25.004627,蛇场
103345_56097.jpg,云南省,曲靖市,103.84631,25.082064,大水井坝
103333_56069.jpg,云南省,曲靖市,103.81459,25.15115,陆良县大坝冲水库管理所
103326_56155.jpg,云南省,曲靖市,103.79553,24.938452,双坝塘
103643_55696.jpg,云南省,曲靖市,104.66468,26.075891,大丫口
103365_56058.jpg,云南省,曲靖市,103.90209,25.178703,三角山
103536_55758.jpg,云南省,曲靖市,104.37025,25.92317,光梁子
103532_55863.jpg,云南省,曲靖市,104.36091,25.662733,山沟头
103630_55665.jpg,云南省,曲靖市,104.62906,26.150747,牛棚梁子
103320_56167.jpg,云南省,曲靖市,103.777626,24.90719,老眉毛山
103365_56074.jpg,云南省,曲靖市,103.90143,25.139025,小水塘
103322_56161.jpg,云南省,曲靖市,103.78277,24.922472,大团山
103331_56136.jpg,云南省,曲靖市,103.809456,24.984568,大水塘－赖台子公路
103332_56157.jpg,云南省,曲靖市,103.8118,24.932014,双坝塘
103336_56094.jpg,云南省,曲靖市,103.82185,25.089712,大山头
103364_56154.jpg,云南省,曲靖市,103.89846,24.940926,法郎村－白马田公路
103634_55905.jpg,云南省,曲靖市,104.64086,25.55957,赖子洞
103517_55816.jpg,云南省,曲靖市,104.318794,25.778294,一把伞
